Resource Id,Project Id,Meter Name,user:appid,user:color,user:environment,Display Name,Availability Zone,Instance Type/Flavor,Invoice Id,Billing Entity,Billing Period Start Date,Billing Period End Date,Usage Account Id,Line Item Type,Usage Start Date,Usage End Date,Product Code,Usage Type,Operation,Usage Amount,Item Rate,Cost,Currency Code,Description,Product Name,Usage Type
4172312e-28ef-433e-8493-1a4c0c424d2d,167435ae922d4e2298f71feca05dc94b,vcpus,,,,,None,,,OpenStack,2018-01-01T00:00:00,2018-01-25T10:42:04.802365,167435ae922d4e2298f71feca05dc94b,Usage,2018-01-01T00:00:00,2018-01-01T03:00:17.654000,Compute,Vcpu Hours,Runinstances,6.009807777777777,0.2,1.20,USD,cpu Hours,Compute,Vcpu Hours
55a07c66-3763-4606-9727-b6b972f23e96,167435ae922d4e2298f71feca05dc94b,memory,,,,,None,,,OpenStack,2018-01-01T00:00:00,2018-01-25T10:42:04.802365,167435ae922d4e2298f71feca05dc94b,Usage,2018-01-01T00:00:00,2018-01-01T03:01:02.092000,Compute,Memory GB Hours,Runinstances,6.034495555555555,0.5,3.02,USD,Memory GB Hours,Compute,Memory GB Hours
617026c2-b229-43ab-a2da-8abbc691fc71,167435ae922d4e2298f71feca05dc94b,volume.size,,,,,AUH,,,OpenStack,2018-01-01T00:00:00,2018-01-25T10:42:04.802365,167435ae922d4e2298f71feca05dc94b,Usage,2018-01-03T13:06:46.785000,2018-01-03T13:07:14.516000,Volume,GB Hours,volumes,0.007703055555555556,0.05,0.00,USD,Volume size in GB hours,Volume,GB Hours
