Resource Id,Project Id,Meter Name,user:appid,user:color,user:environment,Display Name,Availability Zone,Instance Type/Flavor,Invoice Id,Billing Entity,Billing Period Start Date,Billing Period End Date,Usage Account Id,Line Item Type,Usage Start Date,Usage End Date,Product Code,Usage Type,Operation,Usage Amount,Item Rate,Cost,Currency Code,Description,Product Name,Usage Type
4172312e-28ef-433e-8493-1a4c0c424d2d,167435ae922d4e2298f71feca05dc94b,vcpus,,,,,None,,,OpenStack,2018-01-23T00:00:00,2018-01-23T18:05:15.016151,167435ae922d4e2298f71feca05dc94b,Usage,2018-01-23T00:00:00,2018-01-23T02:00:13.590000,Compute,Vcpu Hours,Runinstances,4.00755,0.2,0.80,USD,cpu Hours,Compute,Vcpu Hours
f52b8df1-deb4-421c-94c0-895393b7efa7,167435ae922d4e2298f71feca05dc94b,memory,,,,,None,,,OpenStack,2018-01-23T00:00:00,2018-01-23T18:05:15.016151,167435ae922d4e2298f71feca05dc94b,Usage,2018-01-23T00:00:00,2018-01-23T02:00:16.254000,Compute,Memory GB Hours,Runinstances,1.0022575,0.5,0.50,USD,Memory GB Hours,Compute,Memory GB Hours
